"created_on","provincia","partido","rooms","surface_total","surface_covered","price","currency","title","property_type","operation_type","lat","lon"
"202106","GBA","Malvinas Argentinas",9,350,350,80000,"ARS","Casa - Malvinas Argentinas","Casa","Alquiler",-34.5048094,-58.7061713
"202106","CABA","Comuna 1",1,26,20,62000,"USD","Venta PH monoamb c/ entrepiso y terraza, Monserrat","PH","Venta",-34.615514,-58.3851664
"202106","GBA","Malvinas Argentinas",1,60,40,90000,"USD","Casa - Ingeniero Adolfo Sourdeaux","Casa","Venta",-34.4986983,-58.6527594
"202106","GBA","Pilar",1,48,36,75000,"USD","Venta mono. divisible con balcon terraza equipado.","Departamento","Venta",-34.456553,-58.90955
"202106","CABA","Comuna 12",1,40,36,99500,"USD","Ambiente y medio divisible a estrenar en Coghlan","Departamento","Venta",-34.5679882,-58.4768372
"202106","CABA","Comuna 14",1,28,28,68000,"USD","DEPARTAMENTO MONOAMBIENTE EN VENTA - PALERMO","Departamento","Venta",-34.5835459,-58.4226996
"202106","CABA","Comuna 14",1,91,53,135000,"USD","Monoambiente divisible apto profesional, amenities","Departamento","Venta",-34.5923671,-58.4288612
"202106","CABA","Comuna 13",1,33,29,95000,"USD","MONOAMBIENTE  EN VENTA - AMENITIES - PISCINA - PARRILLA -LOUNDRY - LUMINOSO - COGHLAN","Departamento","Venta",-34.5609353,-58.4664471
"202106","CABA","Comuna 14",1,33,33,140000,"USD","VENTA DEPARTAMENTO MONOAMBIENTE BELGRANO","Departamento","Venta",-34.569482,-58.446064
"202106","GBA","La Plata",1,37,37,30000,"USD","Monoambiente en venta 37mts2  - La Plata","Departamento","Venta",-34.8977248027,-57.9566126894
"202106","GBA","La Plata",1,37,37,38000,"USD","Monoambiente en venta 37mts2 totales- La Plata","Departamento","Venta",-34.9209573831,-57.9791334992
"202106","CABA","Comuna 10",1,23,23,52000,"USD","Monoambiente reciclado a nuevo Villa Luro Velez Sarsfield","Departamento","Venta",-34.6307907,-58.4964453
"202106","CABA","Comuna 2",1,38,35,90000,"USD","DEPARTAMENTO EN VENTA CON COCHERA EN BARRIO NORTE","Departamento","Venta",-34.5952518,-58.4073427
"202106","CABA","Comuna 15",1,50,32,80000,"USD","VENTA - Departamento 1 ambiente en Villa Crespo","Departamento","Venta",-34.5949394,-58.4417772
"202106","CABA","Comuna 15",1,27,25,75000,"USD","Departamento - Villa Crespo","Departamento","Venta",-34.5997401,-58.4352832
"202106","CABA","Comuna 14",1,30,30,55000,"USD","Mono en excelentes condiciones en Villa Crespo!","Departamento","Venta",-34.596195,-58.427002
"202106","GBA","Lomas de Zamora",1,34,30,65000,"USD","VENTA MONOAMBIENTE - BALCON - PARRILLA - BANFIELD","Departamento","Venta",-34.7446275878,-58.3887183666
"202106","GBA","Lanús",2,55,45,48000,"USD","PH. de 2 ambientes ideal inversión","PH","Venta",-34.691475,-58.3981102
"202106","GBA","Morón",2,50,50,59000,"USD","PH - Castelar","PH","Venta",-34.6779764,-58.6591638
"202106","CABA","Comuna 12",2,47,47,110000,"USD","Venta PH 2 ambientes Coghlan","PH","Venta",-34.5553806,-58.4751101
"202106","CABA","Comuna 14",2,62,49,119000,"USD","VENTA 2 AMB CON GRAN PATIO TECHADO PALERMO SOHO","PH","Venta",-34.5938152,-58.429581
"202106","GBA","La Plata",2,38,32,35000,"USD","PH interno con patio","PH","Venta",-34.9145460994,-57.9278182983
"202106","CABA","Comuna 9",2,111,44,84000,"USD","PH DE 2 AMBIENTES MATADEROS","PH","Venta",-34.6551649,-58.4944206
"202106","CABA","Comuna 12",2,45,45,95000,"USD","PH VENTA EN VILLA URQUIZA","PH","Venta",-34.56696,-58.493222
"202106","GBA","Merlo",2,60,60,75000,"USD","CASA VENTA 3 AMBIENTES CON PILETA MERLO LIBERTAD","Casa","Venta",-34.711561391,-58.703212738
"202106","GBA","Escobar",2,64,40,48000,"USD","CASA DE 2 AMBIENTES EN VENTA EN ESCOBAR","Casa","Venta",-34.3459596,-58.8199046
"202106","GBA","Escobar",2,81,70,49000,"USD","Casa en Venta en Escobar","Casa","Venta",-34.360062,-58.82579
"202106","CABA","Comuna 5",2,32,32,59000,"USD","DPTO 2 AMBIENTES LUMINOSO C/ BALCÓN FRANCÉS- BOEDO","Departamento","Venta",-34.6314235,-58.4159701
"202106","GBA","Pilar",2,44,43,49800,"USD","VENTA  2 AMB.  C/ FINANCIACIÓN  PILAR CENTRO OPORT","Departamento","Venta",-34.456437,-58.91623
"202106","GBA","Tigre",2,56,46,110000,"USD","Venta Departamento 2 ambientes vista al lago Posadas Nordelta","Departamento","Venta",-34.4254276751,-58.657228263
"202106","GBA","Tigre",2,56,46,110000,"USD","Venta Departamento 2 ambientes con vista a la laguna Nordelta","Departamento","Venta",-34.4254276751,-58.657228263
"202106","GBA","Tigre",2,62,53,130000,"USD","DEPTO DE 2 AMBIENTES EN TIGRE CENTRO OPORTUNIDAD","Departamento","Venta",-34.4709895,-58.6431962
"202106","GBA","Tigre",2,63,52,135000,"USD","DEPARTAMENTO EN VENTA 2 AMBIENTES, CON COCHERA","Departamento","Venta",-34.3908751,-58.6420805
"202106","GBA","Tigre",2,60,60,215000,"USD","Departamento - Espigon Trece","Departamento","Venta",-34.3902005,-58.6437709
"202106","CABA","Comuna 7",2,44,41,89000,"USD","Venta Dos ambientes Flores norte balcón!","Departamento","Venta",-34.6341738,-58.4621219
"202106","CABA","Comuna 7",2,51,48,79500,"USD","Departamento 2 ambientes con balcón - Flores","Departamento","Venta",-34.6349538,-58.4664564
"202106","CABA","Comuna 7",2,47,41,98000,"USD","Oportunidad - Muy Buen Depto 2 Amb. c/ Balcón - Cochera Fija y Baulera - 47 m²","Departamento","Venta",-34.635818,-58.4611551
"202106","CABA","Comuna 7",2,46,43,99000,"USD","Departamento - Flores","Departamento","Venta",-34.633203,-58.4654005
"202106","CABA","Comuna 7",2,38,32,85000,"USD","DPTO. 2 AMB. C/ BALCÓN CORRIDO TERRAZA Y PILETA","Departamento","Venta",-34.6233831,-58.4658216
"202106","GBA","Lanús",2,62,62,80000,"USD","VENTA DEPARTAMENTO 2 AMB. Y MEDIO C/COCH TECHADA","Departamento","Venta",-34.6877618,-58.4191688
"202106","GBA","Lanús",2,39,35,55000,"USD","Excelente! Depto de 2 amb c/Balcon-a 1 cuadra Avda","Departamento","Venta",-34.6918943,-58.3917693
"202106","GBA","Morón",2,40,35,60000,"USD","Departamento  2 Ambientes- Moron -Venta-Permuta-Apto crédito","Departamento","Venta",-34.6596879,-58.6200837
"202106","GBA","Morón",2,40,37,66000,"USD","VENTA DEPARTAMENTO E 2 AMBIENTES CASTELAR","Departamento","Venta",-34.654295,-58.6414141
"202106","GBA","Morón",2,40,37,66000,"USD","VENTA DEPARTAMENTO CASTELAR SUR FRENTE","Departamento","Venta",-34.6539196699,-58.6423105001
"202106","CABA","Comuna 13",2,42,38,137000,"USD","DEPARTAMENTO 2 AMBIENTES  BALCON AMENITIES NUÑEZ","Departamento","Venta",-34.5435686,-58.4619563
"202106","CABA","Comuna 13",2,61,49,245000,"USD","2AMB a Estrenar - Suite - Toilette - Parrilla en Balcón y Cochera - Manzanares 1700","Departamento","Venta",-34.5441114,-58.4630978
"202106","CABA","Comuna 13",2,42,36,135000,"USD","VENTA DPTO. 2 AMBIENTES C/BALCÓN Y AMENITIES NUÑEZ","Departamento","Venta",-34.5535035,-58.4664032
"202106","CABA","Comuna 1",2,58,52,99000,"USD","Venta 2 amb 58m2 Zona Retiro excelente ubicación!","Departamento","Venta",-34.602954436,-58.3786496864
"202106","CABA","Comuna 12",2,48,43,105000,"USD","Venta hermoso 2 amb. Coghlan con balcón.","Departamento","Venta",-34.555291,-58.476482
"202106","GBA","Escobar",2,53,45,74900,"USD","VENTA DEPARTAMENTO 2 AMB EN ESCOBAR","Departamento","Venta",-34.345511,-58.792656
"202106","CABA","Comuna 9",2,54,39,85000,"USD","DEPARTAMENTO VENTA 2 AMBIENTES CON AMPLIO PATIO","Departamento","Venta",-34.6430212,-58.5110471
"202106","CABA","Comuna 9",2,50,47,118900,"USD","Venta Departamento 2 ambientes con balcón !!! Naón","Departamento","Venta",-34.655278,-58.523593
"202106","CABA","Comuna 2",2,71,57,155000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES DUPLEX COCH PALERMO","Departamento","Venta",-34.5966,-58.41186
"202106","CABA","Comuna 14",2,87,43,135000,"USD","Dos ambientes en Palermo con terraza propia","Departamento","Venta",-34.5739051,-58.4338779
"202106","CABA","Comuna 14",2,45,45,119000,"USD","Departamento 2 Ambientes Venta Palermo Oportunidad","Departamento","Venta",-34.5777417,-58.4058409
"202106","CABA","Comuna 14",2,51,46,150000,"USD","Venta departamento 2 ambientes   Garage - Palermo Soho","Departamento","Venta",-34.5932336,-58.4300446
"202106","CABA","Comuna 14",2,49,42,119000,"USD","OPORTUNIDAD!!!Departamento Silencioso y luminoso.","Departamento","Venta",-34.571338,-58.434541
"202106","CABA","Comuna 14",2,49,42,129000,"USD","VTA Depto 2 amb Palermo Soho/RECICLADO apto prof.","Departamento","Venta",-34.588298,-58.421173
"202106","GBA","Quilmes",2,54,48,90000,"USD","Departamento 2 ambientes en venta o alquiler - Terrazas de Quilmes","Departamento","Venta",-34.7270859,-58.2479641
"202106","CABA","Comuna 4",2,49,39,125000,"USD","DEPARTAMENTO A ESTRENAR EN VENTA 2 AMB BARRACAS","Departamento","Venta",-34.633402,-58.371434
"202106","CABA","Comuna 14",2,48,45,110000,"USD","Departamento 2 ambientes en edificio Premium - Belgrano","Departamento","Venta",-34.5684897638,-58.4441336618
"202106","CABA","Comuna 13",2,55,36,132000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES BELGRANO A ESTRENAR PATIO","Departamento","Venta",-34.5632269,-58.4611794
"202106","CABA","Comuna 13",2,44,36,126000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES BELGRANO A ESTRENAR","Departamento","Venta",-34.5632269,-58.4611794
"202106","CABA","Comuna 13",2,60,51,179900,"USD","VENTA DEPARTAMENTO 2 AMBIENTES  BELGRANO","Departamento","Venta",-34.554356,-58.458076
"202106","CABA","Comuna 13",2,55,36,154000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES BELGRANO A ESTRENAR PATIO ESPACIO GUARDACOCHE","Departamento","Venta",-34.5632269,-58.4611794
"202106","CABA","Comuna 13",2,44,36,149000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES BELGRANO A ESTRENAR  ESPACIO GUARDACOCHE","Departamento","Venta",-34.5632269,-58.4611794
"202106","CABA","Comuna 13",2,38,33,145000,"USD","VENTA DPTO. 2 AMBIENTES COCHERA AMENITIES BELGRANO","Departamento","Venta",-34.5662991,-58.4574022
"202106","CABA","Comuna 1",2,41,41,73000,"USD","Venta departamento 2 ambientes en Congreso","Departamento","Venta",-34.611774,-58.390169
"202106","GBA","La Plata",2,58,51,68000,"USD","Departamento  1 dormitorio parque San Martín","Departamento","Venta",-34.9365986,-57.9691433
"202106","GBA","La Plata",2,41,38,62000,"USD","Departamento en venta 1 dormitorio","Departamento","Venta",-34.911073,-57.9591325
"202106","GBA","La Plata",2,56,45,64000,"USD","Depto 1 dormitorio con balcón terraza, La Plata","Departamento","Venta",-34.9229466058,-57.9385218739
"202106","GBA","La Plata",2,99,36,42000,"USD","Departamento de un dorm con parque  y patio","Departamento","Venta",-34.9217454,-57.9245363
"202106","GBA","La Plata",2,46,46,70000,"USD","Departamento 1 Dormitorio c/Coch en Venta La Plata","Departamento","Venta",-34.902809,-57.968137
"202106","CABA","Comuna 2",2,55,55,120000,"USD","Departamento - Recoleta","Departamento","Venta",-34.5972377,-58.4078482
"202106","CABA","Comuna 2",2,32,32,130000,"USD","Departamento - Recoleta","Departamento","Venta",-34.5934863,-58.4051071
"202106","CABA","Comuna 2",2,37,31,89900,"USD","Venta Depto. al frente con balcón, Excel zona","Departamento","Venta",-34.5953281662,-58.407804966
"202106","CABA","Comuna 12",2,53,47,100000,"USD","VENTA 2 Amb PH Apto Profesional A estrenar","Departamento","Venta",-34.552571,-58.497761
"202106","CABA","Comuna 6",2,51,46,138500,"USD","VENTA 2 Ambientes con Cochera. Piscina, Deck, SUM,","Departamento","Venta",-34.6223575,-58.4351934
"202106","CABA","Comuna 6",2,60,54,98600,"USD","DEPARTAMENTO 2 AMBIENTES A ESTRENAR AMENITIES","Departamento","Venta",-34.618044,-58.443262
"202106","CABA","Comuna 6",2,45,41,144900,"USD","Departamento VENTA DOS AMBIENTES CON COCHERA  - Caballito","Departamento","Venta",-34.6280542,-58.4282596
"202106","CABA","Comuna 6",2,42,38,98000,"USD","Departamento - Caballito","Departamento","Venta",-34.610642,-58.4425061
"202106","CABA","Comuna 6",2,39,39,74900,"USD","VENTA DEPARTAMENTO 2 AMB CABALLITO CID RECICLADO","Departamento","Venta",-34.6123322,-58.4416673
"202106","CABA","Comuna 6",2,31,31,69000,"USD","VENTA DEPARTAMENTO 2 AMBIENTES EN CABALLITO","Departamento","Venta",-34.6165492,-58.4486308
"202106","CABA","Comuna 15",2,43,42,92000,"USD","Departamento 2 ambientes - Chacarita","Departamento","Venta",-34.5893252,-58.4473975
"202106","CABA","Comuna 9",2,46,38,59000,"USD","Departamento - Mataderos","Departamento","Venta",-34.663176,-58.4996598
"202106","GBA","Avellaneda",2,31,31,29400,"USD","VENTA DTO 2 AMB EMPRENDIMIENTO AL COSTO AVELLANEDA","Departamento","Venta",-34.680315,-58.345713
"202106","GBA","Avellaneda",2,33,33,75000,"USD","DEPARTAMENTO 2 AMB EN VENTA. AVELLANEDA CENTRO","Departamento","Venta",-34.660775,-58.3666167
"202106","GBA","La Matanza",2,48,45,78000,"USD","Venta Departamento 2 Amb. en Dúplex Ramos Mejía","Departamento","Venta",-34.6457275,-58.5766844
"202106","GBA","La Matanza",2,48,45,135000,"USD","Dpto 2 Amb con Balcón y Cochera Ramos Centro","Departamento","Venta",-34.6449815,-58.5627878
"202106","GBA","San Isidro",2,76,65,250000,"USD","Excelente 2 Ambientes de Categoría con Cochera .","Departamento","Venta",-34.488963,-58.4852872
"202106","CABA","Comuna 2",2,45,40,125000,"USD","SE VENDE DEPARTAMENTO 02 AMBIENTES , BARRIO NORTE -.RECOLETA","Departamento","Venta",-34.5952931,-58.4043544
"202106","GBA","San Fernando",2,61,52,99606,"USD","Lencke Vende - A estrenar, amplio depto 2 ambientes, financiacion directa s/interes","Departamento","Venta",-34.4550465946,-58.5610599445
"202106","CABA","Comuna 1",2,37,37,87000,"USD","Departamento - San Nicolas","Departamento","Venta",-34.6079104871,-58.3821422506
"202106","CABA","Comuna 15",2,49,43,128900,"USD","2 amb. cochera y amenitites. 48mtrs, Villa Crespo.","Departamento","Venta",-34.5935487,-58.4404362
"202106","CABA","Comuna 11",2,49,49,113900,"USD","DEPARTAMENTO DOS AMBIENTES AMPLIO  EN VENTA DEVOTO","Departamento","Venta",-34.611826,-58.516024
"202106","CABA","Comuna 11",2,55,55,97000,"USD","Departamento 2 amb. Venta Devoto Bajas expensas","Departamento","Venta",-34.5922256,-58.507703
"202106","CABA","Comuna 1",2,46,46,95500,"USD","VENTA DE DEPARTAMENTOS EN LA """"NUEVA CONSTITUCIÓN""""","Departamento","Venta",-34.6261172,-58.3881231
"202106","CABA","Comuna 1",2,61,57,380000,"USD","Departamento - Puerto Madero","Departamento","Venta",-34.6036948,-58.3631579
"202106","CABA","Comuna 3",2,44,41,72000,"USD","VENTA-S.CRISTOBAL-2AMB LUM.-LAVAD.-BALCÓN-","Departamento","Venta",-34.621034,-58.400263
"202106","CABA","Comuna 3",2,48,48,80000,"USD","Departamento 2 Amb - Dean Funes 1000 - San Cristóbal","Departamento","Venta",-34.6224105,-58.4060074
"202106","CABA","Comuna 12",2,59,50,170000,"USD","Departamento en venta. Dos ambientes c/cochera. Amenities, Villa Urquiza","Departamento","Venta",-34.5697457,-58.4766537
"202106","CABA","Comuna 12",2,52,49,119000,"USD","VENTA DPTO 2 AMB C/BALCÓN Y PARRILLA VILLA URQUIZA","Departamento","Venta",-34.5669,-58.4893
"202106","CABA","Comuna 12",2,37,36,84900,"USD","Venta Departamento 2 ambientes Villa Urquiza","Departamento","Venta",-34.5695667,-58.4787232
"202106","CABA","Comuna 12",2,52,49,139000,"USD","VENTA DPTO 2AMB BALCÓN COCHERA PARRILLA V. URQUIZA","Departamento","Venta",-34.5669,-58.4893
"202106","GBA","Vicente López",2,72,66,287000,"USD","Departamento - Olivos-Vias/Rio","Departamento","Venta",-34.5077862,-58.4793619
"202106","GBA","Vicente López",2,55,44,159000,"USD","Departamento - La Lucila","Departamento","Venta",-34.5052088,-58.4933942
"202106","GBA","Vicente López",2,58,50,145000,"USD","Departamento 2 amb y medio con Balcón y Cochera en Olivos","Departamento","Venta",-34.5147091,-58.4962713
"202106","GBA","Lomas de Zamora",2,65,35,87000,"USD","DPTO TIPO DUPLEX CON TERRAZA PROPIA A ESTRENAR","Departamento","Venta",-34.761603,-58.407464
